[s],CH1[V]
-5.2740E-06,4.969E+00
-5.2720E-06,4.929E+00
-5.2700E-06,4.969E+00
-5.2680E-06,4.969E+00
-5.2660E-06,4.969E+00
-5.2640E-06,4.929E+00
-5.2620E-06,4.969E+00
-5.2600E-06,4.969E+00
-5.2580E-06,4.969E+00
-5.2560E-06,4.969E+00
-5.2540E-06,4.969E+00
-5.2520E-06,4.969E+00
-5.2500E-06,4.969E+00
-5.2480E-06,4.969E+00
-5.2460E-06,4.969E+00
-5.2440E-06,4.969E+00
-5.2420E-06,4.969E+00
-5.2400E-06,4.969E+00
-5.2380E-06,4.969E+00
-5.2360E-06,4.969E+00
-5.2340E-06,4.969E+00
-5.2320E-06,4.969E+00
-5.2300E-06,4.969E+00
-5.2280E-06,4.969E+00
-5.2260E-06,4.969E+00
-5.2240E-06,4.929E+00
-5.2220E-06,4.969E+00
-5.2200E-06,4.969E+00
-5.2180E-06,4.969E+00
-5.2160E-06,4.969E+00
-5.2140E-06,4.969E+00
-5.2120E-06,4.969E+00
-5.2100E-06,4.969E+00
-5.2080E-06,4.969E+00
-5.2060E-06,4.969E+00
-5.2040E-06,4.929E+00
-5.2020E-06,4.969E+00
-5.2000E-06,4.929E+00
-5.1980E-06,4.969E+00
-5.1960E-06,4.969E+00
-5.1940E-06,4.969E+00
-5.1920E-06,4.969E+00
-5.1900E-06,4.969E+00
-5.1880E-06,4.969E+00
-5.1860E-06,4.969E+00
-5.1840E-06,4.969E+00
-5.1820E-06,4.969E+00
-5.1800E-06,4.969E+00
-5.1780E-06,4.969E+00
-5.1760E-06,4.969E+00
-5.1740E-06,4.969E+00
-5.1720E-06,4.969E+00
-5.1700E-06,4.969E+00
-5.1680E-06,4.969E+00
-5.1660E-06,4.969E+00
-5.1640E-06,4.929E+00
-5.1620E-06,4.969E+00
-5.1600E-06,4.969E+00
-5.1580E-06,4.969E+00
-5.1560E-06,4.929E+00
-5.1540E-06,4.969E+00
-5.1520E-06,4.969E+00
-5.1500E-06,4.969E+00
-5.1480E-06,4.969E+00
-5.1460E-06,4.969E+00
-5.1440E-06,4.969E+00
-5.1420E-06,4.969E+00
-5.1400E-06,4.969E+00
-5.1380E-06,4.929E+00
-5.1360E-06,4.929E+00
-5.1340E-06,4.929E+00
-5.1320E-06,4.969E+00
-5.1300E-06,4.969E+00
-5.1280E-06,4.969E+00
-5.1260E-06,4.969E+00
-5.1240E-06,4.929E+00
-5.1220E-06,4.969E+00
-5.1200E-06,4.969E+00
-5.1180E-06,4.969E+00
-5.1160E-06,4.969E+00
-5.1140E-06,4.969E+00
-5.1120E-06,4.969E+00
-5.1100E-06,4.969E+00
-5.1080E-06,4.969E+00
-5.1060E-06,4.969E+00
-5.1040E-06,4.929E+00
-5.1020E-06,4.969E+00
-5.1000E-06,4.969E+00
-5.0980E-06,4.969E+00
-5.0960E-06,4.969E+00
-5.0940E-06,4.969E+00
-5.0920E-06,4.929E+00
-5.0900E-06,4.969E+00
-5.0880E-06,4.969E+00
-5.0860E-06,4.969E+00
-5.0840E-06,4.969E+00
-5.0820E-06,4.969E+00
-5.0800E-06,4.929E+00
-5.0780E-06,4.969E+00
-5.0760E-06,4.929E+00
-5.0740E-06,4.969E+00
-5.0720E-06,4.929E+00
-5.0700E-06,4.969E+00
-5.0680E-06,4.969E+00
-5.0660E-06,4.969E+00
-5.0640E-06,4.969E+00
-5.0620E-06,4.969E+00
-5.0600E-06,4.969E+00
-5.0580E-06,4.969E+00
-5.0560E-06,4.929E+00
-5.0540E-06,4.969E+00
-5.0520E-06,4.929E+00
-5.0500E-06,4.969E+00
-5.0480E-06,4.969E+00
-5.0460E-06,4.969E+00
-5.0440E-06,4.969E+00
-5.0420E-06,4.969E+00
-5.0400E-06,4.929E+00
-5.0380E-06,4.969E+00
-5.0360E-06,4.969E+00
-5.0340E-06,4.969E+00
-5.0320E-06,4.969E+00
-5.0300E-06,4.969E+00
-5.0280E-06,4.969E+00
-5.0260E-06,4.969E+00
-5.0240E-06,4.969E+00
-5.0220E-06,4.969E+00
-5.0200E-06,4.969E+00
-5.0180E-06,4.969E+00
-5.0160E-06,4.969E+00
-5.0140E-06,4.969E+00
-5.0120E-06,4.929E+00
-5.0100E-06,4.969E+00
-5.0080E-06,4.929E+00
-5.0060E-06,4.969E+00
-5.0040E-06,4.929E+00
-5.0020E-06,4.969E+00
-5.0000E-06,4.969E+00
-4.9980E-06,4.969E+00
-4.9960E-06,4.969E+00
-4.9940E-06,4.969E+00
-4.9920E-06,4.969E+00
-4.9900E-06,4.969E+00
-4.9880E-06,4.969E+00
-4.9860E-06,4.969E+00
-4.9840E-06,4.969E+00
-4.9820E-06,4.969E+00
-4.9800E-06,4.969E+00
-4.9780E-06,4.969E+00
-4.9760E-06,4.969E+00
-4.9740E-06,4.969E+00
-4.9720E-06,4.969E+00
-4.9700E-06,4.969E+00
-4.9680E-06,4.969E+00
-4.9660E-06,4.969E+00
-4.9640E-06,4.969E+00
-4.9620E-06,4.969E+00
-4.9600E-06,4.969E+00
-4.9580E-06,4.969E+00
-4.9560E-06,4.969E+00
-4.9540E-06,4.969E+00
-4.9520E-06,4.969E+00
-4.9500E-06,4.969E+00
-4.9480E-06,4.849E+00
-4.9460E-06,4.569E+00
-4.9440E-06,4.089E+00
-4.9420E-06,3.569E+00
-4.9400E-06,3.049E+00
-4.9380E-06,2.569E+00
-4.9360E-06,2.129E+00
-4.9340E-06,1.729E+00
-4.9320E-06,1.489E+00
-4.9300E-06,1.289E+00
-4.9280E-06,1.129E+00
-4.9260E-06,9.686E-01
-4.9240E-06,8.486E-01
-4.9220E-06,7.286E-01
-4.9200E-06,6.486E-01
-4.9180E-06,5.686E-01
-4.9160E-06,4.886E-01
-4.9140E-06,4.086E-01
-4.9120E-06,3.286E-01
-4.9100E-06,2.886E-01
-4.9080E-06,2.486E-01
-4.9060E-06,2.086E-01
-4.9040E-06,1.686E-01
-4.9020E-06,1.686E-01
-4.9000E-06,8.861E-02
-4.8980E-06,8.861E-02
-4.8960E-06,8.861E-02
-4.8940E-06,8.861E-02
-4.8920E-06,4.861E-02
-4.8900E-06,4.861E-02
-4.8880E-06,8.609E-03
-4.8860E-06,8.609E-03
-4.8840E-06,8.609E-03
-4.8820E-06,8.609E-03
-4.8800E-06,8.609E-03
-4.8780E-06,8.609E-03
-4.8760E-06,8.609E-03
-4.8740E-06,8.609E-03
-4.8720E-06,-3.139E-02
-4.8700E-06,-3.139E-02
-4.8680E-06,-3.139E-02
-4.8660E-06,-3.139E-02
-4.8640E-06,-3.139E-02
-4.8620E-06,-3.139E-02
-4.8600E-06,-3.139E-02
-4.8580E-06,-3.139E-02
-4.8560E-06,-3.139E-02
-4.8540E-06,-3.139E-02
-4.8520E-06,-3.139E-02
-4.8500E-06,-3.139E-02
-4.8480E-06,-3.139E-02
-4.8460E-06,-3.139E-02
-4.8440E-06,-3.139E-02
-4.8420E-06,-3.139E-02
-4.8400E-06,-3.139E-02
-4.8380E-06,-3.139E-02
-4.8360E-06,-3.139E-02
-4.8340E-06,-3.139E-02
-4.8320E-06,-3.139E-02
-4.8300E-06,-3.139E-02
-4.8280E-06,-3.139E-02
-4.8260E-06,-3.139E-02
-4.8240E-06,-3.139E-02
-4.8220E-06,-3.139E-02
-4.8200E-06,-3.139E-02
-4.8180E-06,8.609E-03
-4.8160E-06,-3.139E-02
-4.8140E-06,-3.139E-02
-4.8120E-06,-3.139E-02
-4.8100E-06,-3.139E-02
-4.8080E-06,-3.139E-02
-4.8060E-06,-3.139E-02
-4.8040E-06,-3.139E-02
-4.8020E-06,-3.139E-02
-4.8000E-06,-3.139E-02
-4.7980E-06,-3.139E-02
-4.7960E-06,-3.139E-02
-4.7940E-06,-3.139E-02
-4.7920E-06,-3.139E-02
-4.7900E-06,-3.139E-02
-4.7880E-06,-7.139E-02
-4.7860E-06,-3.139E-02
-4.7840E-06,-3.139E-02
-4.7820E-06,-3.139E-02
-4.7800E-06,-3.139E-02
-4.7780E-06,-3.139E-02
-4.7760E-06,-3.139E-02
-4.7740E-06,-3.139E-02
-4.7720E-06,-7.139E-02
-4.7700E-06,-3.139E-02
-4.7680E-06,-7.139E-02
-4.7660E-06,-3.139E-02
-4.7640E-06,-7.139E-02
-4.7620E-06,-3.139E-02
-4.7600E-06,-3.139E-02
-4.7580E-06,-3.139E-02
-4.7560E-06,-3.139E-02
-4.7540E-06,-3.139E-02
-4.7520E-06,-7.139E-02
-4.7500E-06,-3.139E-02
-4.7480E-06,-7.139E-02
-4.7460E-06,-3.139E-02
-4.7440E-06,-3.139E-02
-4.7420E-06,-3.139E-02
-4.7400E-06,-3.139E-02
-4.7380E-06,-3.139E-02
-4.7360E-06,-7.139E-02
-4.7340E-06,-3.139E-02
-4.7320E-06,-3.139E-02
-4.7300E-06,-3.139E-02
-4.7280E-06,-3.139E-02
-4.7260E-06,-3.139E-02
-4.7240E-06,-3.139E-02
-4.7220E-06,-3.139E-02
-4.7200E-06,-7.139E-02
-4.7180E-06,-3.139E-02
-4.7160E-06,-7.139E-02
-4.7140E-06,-3.139E-02
-4.7120E-06,-3.139E-02
-4.7100E-06,-3.139E-02
-4.7080E-06,-3.139E-02
-4.7060E-06,-3.139E-02
-4.7040E-06,-3.139E-02
-4.7020E-06,-3.139E-02
-4.7000E-06,-3.139E-02
-4.6980E-06,-3.139E-02
-4.6960E-06,-3.139E-02
-4.6940E-06,-3.139E-02
-4.6920E-06,-3.139E-02
-4.6900E-06,-3.139E-02
-4.6880E-06,-7.139E-02
-4.6860E-06,-3.139E-02
-4.6840E-06,-7.139E-02
-4.6820E-06,-3.139E-02
-4.6800E-06,-7.139E-02
-4.6780E-06,-3.139E-02
-4.6760E-06,-7.139E-02
-4.6740E-06,-3.139E-02
-4.6720E-06,-3.139E-02
-4.6700E-06,-3.139E-02
-4.6680E-06,-3.139E-02
-4.6660E-06,-3.139E-02
-4.6640E-06,-3.139E-02
-4.6620E-06,-3.139E-02
-4.6600E-06,-3.139E-02
-4.6580E-06,-3.139E-02
-4.6560E-06,-3.139E-02
-4.6540E-06,-3.139E-02
-4.6520E-06,-3.139E-02
-4.6500E-06,-3.139E-02
-4.6480E-06,-3.139E-02
-4.6460E-06,-3.139E-02
-4.6440E-06,-3.139E-02
-4.6420E-06,-3.139E-02
-4.6400E-06,-3.139E-02
-4.6380E-06,-3.139E-02
-4.6360E-06,-3.139E-02
-4.6340E-06,-3.139E-02
-4.6320E-06,-3.139E-02
-4.6300E-06,-3.139E-02
-4.6280E-06,-7.139E-02
-4.6260E-06,-3.139E-02
-4.6240E-06,-7.139E-02
-4.6220E-06,-3.139E-02
-4.6200E-06,-3.139E-02
-4.6180E-06,-3.139E-02
-4.6160E-06,-3.139E-02
-4.6140E-06,-3.139E-02
-4.6120E-06,-3.139E-02
-4.6100E-06,-3.139E-02
-4.6080E-06,-3.139E-02
-4.6060E-06,-3.139E-02
-4.6040E-06,-3.139E-02
-4.6020E-06,-3.139E-02
-4.6000E-06,-3.139E-02
-4.5980E-06,-3.139E-02
-4.5960E-06,-3.139E-02
-4.5940E-06,-3.139E-02
-4.5920E-06,-7.139E-02
-4.5900E-06,-3.139E-02
-4.5880E-06,-3.139E-02
-4.5860E-06,-3.139E-02
-4.5840E-06,-7.139E-02
-4.5820E-06,-7.139E-02
-4.5800E-06,-7.139E-02
-4.5780E-06,-3.139E-02
-4.5760E-06,-3.139E-02
-4.5740E-06,-3.139E-02
-4.5720E-06,-3.139E-02
-4.5700E-06,-3.139E-02
-4.5680E-06,-3.139E-02
-4.5660E-06,-3.139E-02
-4.5640E-06,-3.139E-02
-4.5620E-06,-3.139E-02
-4.5600E-06,-3.139E-02
-4.5580E-06,-3.139E-02
-4.5560E-06,-3.139E-02
-4.5540E-06,-3.139E-02
-4.5520E-06,-7.139E-02
-4.5500E-06,-3.139E-02
-4.5480E-06,-3.139E-02
-4.5460E-06,-3.139E-02
-4.5440E-06,-3.139E-02
-4.5420E-06,-3.139E-02
-4.5400E-06,-3.139E-02
-4.5380E-06,-3.139E-02
-4.5360E-06,-3.139E-02
-4.5340E-06,-3.139E-02
-4.5320E-06,-3.139E-02
-4.5300E-06,-3.139E-02
-4.5280E-06,-3.139E-02
-4.5260E-06,-3.139E-02
-4.5240E-06,-3.139E-02
-4.5220E-06,-3.139E-02
-4.5200E-06,-3.139E-02
-4.5180E-06,-3.139E-02
-4.5160E-06,-7.139E-02
-4.5140E-06,-3.139E-02
-4.5120E-06,-3.139E-02
-4.5100E-06,-3.139E-02
-4.5080E-06,-3.139E-02
-4.5060E-06,-3.139E-02
-4.5040E-06,-3.139E-02
-4.5020E-06,-3.139E-02
-4.5000E-06,-3.139E-02
-4.4980E-06,-3.139E-02
-4.4960E-06,-3.139E-02
-4.4940E-06,-3.139E-02
-4.4920E-06,-3.139E-02
-4.4900E-06,-3.139E-02
-4.4880E-06,-3.139E-02
-4.4860E-06,-3.139E-02
-4.4840E-06,-7.139E-02
-4.4820E-06,-3.139E-02
-4.4800E-06,-3.139E-02
-4.4780E-06,-3.139E-02
-4.4760E-06,-7.139E-02
-4.4740E-06,-7.139E-02
-4.4720E-06,-7.139E-02
-4.4700E-06,-3.139E-02
-4.4680E-06,-7.139E-02
-4.4660E-06,-3.139E-02
-4.4640E-06,-7.139E-02
-4.4620E-06,-3.139E-02
-4.4600E-06,-7.139E-02
-4.4580E-06,-3.139E-02
-4.4560E-06,-7.139E-02
-4.4540E-06,-3.139E-02
-4.4520E-06,-7.139E-02
-4.4500E-06,-3.139E-02
-4.4480E-06,-7.139E-02
-4.4460E-06,-3.139E-02
-4.4440E-06,-3.139E-02
-4.4420E-06,-3.139E-02
-4.4400E-06,-3.139E-02
-4.4380E-06,-3.139E-02
-4.4360E-06,-3.139E-02
-4.4340E-06,-3.139E-02
-4.4320E-06,-7.139E-02
-4.4300E-06,-3.139E-02
-4.4280E-06,-7.139E-02
-4.4260E-06,-3.139E-02
-4.4240E-06,-3.139E-02
-4.4220E-06,-3.139E-02
-4.4200E-06,-3.139E-02
-4.4180E-06,-3.139E-02
-4.4160E-06,-3.139E-02
-4.4140E-06,-3.139E-02
-4.4120E-06,-3.139E-02
-4.4100E-06,-3.139E-02
-4.4080E-06,-3.139E-02
-4.4060E-06,-3.139E-02
-4.4040E-06,-7.139E-02
-4.4020E-06,-3.139E-02
-4.4000E-06,-7.139E-02
-4.3980E-06,-3.139E-02
-4.3960E-06,-7.139E-02
-4.3940E-06,-3.139E-02
-4.3920E-06,-3.139E-02
-4.3900E-06,-3.139E-02
-4.3880E-06,-7.139E-02
-4.3860E-06,-3.139E-02
-4.3840E-06,-3.139E-02
-4.3820E-06,-3.139E-02
-4.3800E-06,-3.139E-02
-4.3780E-06,-3.139E-02
-4.3760E-06,-3.139E-02
-4.3740E-06,-3.139E-02
-4.3720E-06,-7.139E-02
-4.3700E-06,-3.139E-02
-4.3680E-06,-7.139E-02
-4.3660E-06,-3.139E-02
-4.3640E-06,-3.139E-02
-4.3620E-06,-3.139E-02
-4.3600E-06,-7.139E-02
-4.3580E-06,-3.139E-02
-4.3560E-06,-3.139E-02
-4.3540E-06,-3.139E-02
-4.3520E-06,-3.139E-02
-4.3500E-06,-3.139E-02
-4.3480E-06,-3.139E-02
-4.3460E-06,-3.139E-02
-4.3440E-06,-3.139E-02
-4.3420E-06,-3.139E-02
-4.3400E-06,-7.139E-02
-4.3380E-06,-3.139E-02
-4.3360E-06,-7.139E-02
-4.3340E-06,-3.139E-02
-4.3320E-06,-7.139E-02
-4.3300E-06,-3.139E-02
-4.3280E-06,-7.139E-02
-4.3260E-06,-3.139E-02
-4.3240E-06,-3.139E-02
-4.3220E-06,-3.139E-02
-4.3200E-06,-3.139E-02
-4.3180E-06,-3.139E-02
-4.3160E-06,-3.139E-02
-4.3140E-06,-3.139E-02
-4.3120E-06,-3.139E-02
-4.3100E-06,-3.139E-02
-4.3080E-06,-3.139E-02
-4.3060E-06,-3.139E-02
-4.3040E-06,-3.139E-02
-4.3020E-06,-3.139E-02
-4.3000E-06,-7.139E-02
-4.2980E-06,-3.139E-02
-4.2960E-06,-7.139E-02
-4.2940E-06,-3.139E-02
